simMode,seed,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,workloadBalance,targetConflictCount
PatrolOnly,12562,42,1.0000,50,7.9175,5.0665,100,0.9933,0.0000,0
PatrolOnly,12563,54,1.0000,53,11.6699,6.4632,100,0.9933,0.0000,0
PatrolOnly,12564,36,1.0000,40,9.2913,5.6340,100,0.9933,0.0000,0
PatrolOnly,12565,45,1.0000,32,7.2961,4.2361,100,0.9900,0.0000,0
PatrolOnly,12566,52,1.0000,63,11.1796,5.8888,100,0.9900,0.0000,0
PatrolOnly,12567,47,1.0000,31,9.8835,5.0649,100,0.9900,0.0000,0
PatrolOnly,12568,37,1.0000,28,9.3544,4.3462,100,0.9900,0.0000,0
PatrolOnly,12569,42,1.0000,30,9.3010,4.8603,100,0.9900,0.0000,0
PatrolOnly,12570,36,1.0000,39,8.4563,4.4370,100,0.9900,0.0000,0
PatrolOnly,12571,44,1.0000,31,8.3398,4.8556,100,0.9900,0.0000,0
PatrolOnly,12572,37,1.0000,33,7.2087,4.5292,100,0.9900,0.0000,0
PatrolOnly,12573,30,1.0000,31,8.0388,4.3174,100,0.9900,0.0000,0
PatrolOnly,12574,35,1.0000,38,8.1456,4.5127,100,0.9900,0.0000,0
PatrolOnly,12575,35,1.0000,35,9.2136,4.5607,100,0.9900,0.0000,0
PatrolOnly,12576,27,1.0000,28,7.2136,4.7387,100,0.9933,0.0000,0
PatrolOnly,12577,25,1.0000,47,17.0146,5.6564,100,0.9900,0.0000,0
PatrolOnly,12578,36,1.0000,43,10.4029,5.0186,100,0.9933,0.0000,0
PatrolOnly,12579,35,1.0000,28,7.7864,4.3555,100,0.9900,0.0000,0
PatrolOnly,12580,33,1.0000,31,7.2233,4.4836,100,0.9900,0.0000,0
PatrolOnly,12581,44,1.0000,31,5.3592,4.7725,100,0.9900,0.0000,0
PatrolOnly,12582,30,1.0000,35,7.1019,4.2761,100,0.9900,0.0000,0
PatrolOnly,12583,34,1.0000,51,8.4029,4.4276,100,0.9900,0.0000,0
PatrolOnly,12584,35,1.0000,33,9.8252,4.8014,100,0.9900,0.0000,0
PatrolOnly,12585,35,1.0000,31,7.6602,4.4470,100,0.9900,0.0000,0
PatrolOnly,12586,50,1.0000,50,10.9952,5.3427,100,0.9900,0.0000,0
PatrolOnly,12587,54,1.0000,44,7.8107,5.8200,100,0.9933,0.0000,0
PatrolOnly,12588,38,1.0000,40,11.6651,4.8045,100,0.9900,0.0000,0
PatrolOnly,12589,42,1.0000,35,8.5437,4.8585,100,0.9933,0.0000,0
PatrolOnly,12590,39,1.0000,30,9.9029,4.8145,100,0.9900,0.0000,0
PatrolOnly,12591,27,1.0000,36,10.1651,4.6544,100,0.9900,0.0000,0
PatrolOnly,12592,35,1.0000,28,8.5583,4.9020,100,0.9900,0.0000,0
PatrolOnly,12593,38,1.0000,35,8.1796,4.6610,100,0.9900,0.0000,0
PatrolOnly,12594,39,1.0000,44,8.2427,4.6832,100,0.9900,0.0000,0
PatrolOnly,12595,48,1.0000,29,7.3738,4.5148,100,0.9900,0.0000,0
PatrolOnly,12596,32,1.0000,29,7.4563,4.4592,100,0.9900,0.0000,0
PatrolOnly,12597,53,1.0000,50,9.6602,6.2016,100,0.9900,0.0000,0
PatrolOnly,12598,38,1.0000,41,9.4951,4.5419,100,0.9900,0.0000,0
PatrolOnly,12599,34,1.0000,35,9.6456,5.0743,100,0.9933,0.0000,0
PatrolOnly,12600,43,1.0000,35,15.3835,5.0663,100,0.9933,0.0000,0
PatrolOnly,12601,35,1.0000,30,8.0291,4.7055,100,0.9900,0.0000,0
PatrolOnly,12602,34,1.0000,30,8.9126,4.4208,100,0.9900,0.0000,0
PatrolOnly,12603,35,1.0000,26,7.5291,4.3366,100,0.9933,0.0000,0
PatrolOnly,12604,36,1.0000,30,7.8301,5.0068,100,0.9900,0.0000,0
PatrolOnly,12605,51,1.0000,40,10.4563,5.6218,100,0.9933,0.0000,0
PatrolOnly,12606,34,1.0000,33,8.0485,4.2768,100,0.9900,0.0000,0
PatrolOnly,12607,33,1.0000,37,7.5437,4.6826,100,0.9900,0.0000,0
PatrolOnly,12608,30,1.0000,30,8.8835,4.3598,100,0.9933,0.0000,0
PatrolOnly,12609,31,1.0000,36,7.6942,4.2493,100,0.9900,0.0000,0
PatrolOnly,12610,35,1.0000,28,6.7767,4.6254,100,0.9900,0.0000,0
PatrolOnly,12611,36,1.0000,40,8.7573,5.4029,100,0.9933,0.0000,0
PatrolOnly,12612,42,1.0000,35,8.2621,4.2938,100,0.9900,0.0000,0
PatrolOnly,12613,39,1.0000,32,8.3155,4.4904,100,0.9900,0.0000,0
PatrolOnly,12614,40,1.0000,24,11.2282,5.2790,100,0.9933,0.0000,0
PatrolOnly,12615,29,1.0000,32,6.4951,4.6211,100,0.9900,0.0000,0
PatrolOnly,12616,30,1.0000,33,7.8495,4.5229,100,0.9900,0.0000,0
PatrolOnly,12617,39,1.0000,27,9.1019,5.0504,100,0.9900,0.0000,0
PatrolOnly,12618,33,1.0000,28,6.5922,4.4937,100,0.9900,0.0000,0
PatrolOnly,12619,47,1.0000,36,6.7379,4.6630,100,0.9900,0.0000,0
PatrolOnly,12620,34,1.0000,36,10.0631,4.6588,100,0.9900,0.0000,0
PatrolOnly,12621,48,1.0000,51,9.7233,6.0779,100,0.9900,0.0000,0
PatrolOnly,12622,33,1.0000,38,10.8495,4.5519,100,0.9900,0.0000,0
PatrolOnly,12623,31,1.0000,31,10.6602,4.9116,100,0.9900,0.0000,0
PatrolOnly,12624,44,1.0000,29,8.7039,4.4176,100,0.9933,0.0000,0
PatrolOnly,12625,35,1.0000,42,9.8884,5.1410,100,0.9900,0.0000,0
PatrolOnly,12626,37,1.0000,31,9.5680,4.2048,100,0.9933,0.0000,0
PatrolOnly,12627,35,1.0000,47,8.3835,4.6038,100,0.9900,0.0000,0
PatrolOnly,12628,34,1.0000,35,8.9563,4.5629,100,0.9900,0.0000,0
PatrolOnly,12629,50,1.0000,35,12.3252,4.8262,100,0.9900,0.0000,0
PatrolOnly,12630,38,1.0000,39,8.8835,4.9269,100,0.9900,0.0000,0
PatrolOnly,12631,22,1.0000,35,8.9903,4.7069,100,0.9900,0.0000,0
PatrolOnly,12632,36,1.0000,31,7.8058,4.4492,100,0.9900,0.0000,0
PatrolOnly,12633,31,1.0000,45,9.0874,4.6506,100,0.9900,0.0000,0
PatrolOnly,12634,42,1.0000,34,9.1019,4.6065,100,0.9933,0.0000,0
PatrolOnly,12635,29,1.0000,41,7.0291,4.4961,100,0.9900,0.0000,0
PatrolOnly,12636,31,1.0000,30,8.6359,4.8221,100,0.9900,0.0000,0
PatrolOnly,12637,38,1.0000,29,8.1214,4.5094,100,0.9900,0.0000,0
PatrolOnly,12638,35,1.0000,37,7.9612,5.3128,100,0.9900,0.0000,0
PatrolOnly,12639,38,1.0000,45,8.5049,4.3387,100,0.9900,0.0000,0
